Campo;api_access_token;account_id;name;category;lang;apps;type;file;header;header_var;body;body_var;footer;security;expiration;buttons;Código HTTP Esperado;Prioridad
8;(token válido correspondiente a la sesión);65;(nombre único de longitud mínima, 3 caracteres);UTILITY;es_MX;(arreglo con múltiples UUID válidos de apps existentes de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico con variables secuenciales {{1}} a {{3}});(arreglo con tres elementos, valores típicos);(cadena que alterna entre letras, números y caracteres especiales);(ausente);(ausente);(ausente);200;alto
9;(token válido correspondiente a la sesión);(ausente);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
10;(token válido correspondiente a la sesión);(vacío);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
11;(token válido correspondiente a la sesión);(cuenta inexistente);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);401;alto
12;(token válido correspondiente a la sesión);(cuenta existente, ajena a la sesión);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);401;alto
13;(token válido correspondiente a la sesión);(mínimo del rango, 1);(longitud 2, por debajo del mínimo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
14;(token válido correspondiente a la sesión);(mínimo del rango, 1);(longitud 180, por encima del máximo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
15;(token válido correspondiente a la sesión);(mínimo del rango, 1);(contiene mayúsculas, viola el patrón);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio
16;(token válido correspondiente a la sesión);(mínimo del rango, 1);(contiene caracteres especiales no permitidos);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio
17;(token válido correspondiente a la sesión);(mínimo del rango, 1);(contiene espacios);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio
18;(token válido correspondiente a la sesión);(mínimo del rango, 1);(ausente);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
19;(token válido correspondiente a la sesión);(mínimo del rango, 1);(vacío);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio
20;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre ya utilizado en una petición anterior);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
21;(token válido correspondiente a la sesión);(mínimo del rango, 1);(contiene signo negativo, ej. -123);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio
22;(token válido correspondiente a la sesión);(mínimo del rango, 1);(contiene punto decimal, ej. 12.5);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio
23;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);(valor fuera de la lista blanca);en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
24;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);(ausente);en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
25;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);(vacío);en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
26;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);(tipo de dato incorrecto, numérico);en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
27;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);(caracteres especiales);en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio
28;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);(valor de la lista blanca en minúsculas, ej. marketing);en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
29;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;(valor fuera de la lista blanca);(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
30;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;(ausente);(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
31;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;(vacío);(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio
32;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;(valor de la lista blanca en minúsculas, ej. en_us);(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
33;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(ausente);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
34;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(vacío);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
35;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo JSON vacío, sin elementos);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
36;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un elemento que no es un UUID válido);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
37;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(no es un arreglo JSON válido);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
38;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con UUID inexistente o inactivo);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
39;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con UUID que no pertenece a la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
40;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con elemento compuesto solo de letras, no es un UUID);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio
41;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con elemento compuesto solo de números, no es un UUID);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio
42;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con elemento con caracteres especiales, no es un UUID);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio
43;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un UUID existente modificando o agregando un carácter del string original);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio
44;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(valor fuera de la lista blanca);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
45;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(vacío);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
46;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(tipo de dato incorrecto, numérico);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
47;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(caracteres especiales);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio
48;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(valor de la lista blanca en minúsculas, ej. text);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
49;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(ausente cuando category≠AUTHENTICATION);(arreglo con un elemento correspondiente a una variable de body);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
50;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(vacío);(arreglo con un elemento correspondiente a una variable de body);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio
51;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(longitud 1025, por encima del máximo);(arreglo con un elemento correspondiente a una variable de body);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
52;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(más de 10 variables);(arreglo con un elemento correspondiente a una variable de body);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
53;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(variables fuera de secuencia, con huecos o repeticiones);(arreglo con un elemento correspondiente a una variable de body);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
54;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto compuesto únicamente por variables, sin texto fijo alrededor);(arreglo con un elemento correspondiente a una variable de body);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio
55;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto con el mínimo de variables, 1 variable {{1}});(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
56;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(vacío);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio
57;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(no es un arreglo JSON válido);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
58;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(cantidad de elementos distinta a la cantidad de variables en body);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto
59;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(elemento con salto de línea);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio
60;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(elemento con 4 o más espacios consecutivos);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio
61;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(vacío);(ausente);(ausente);(ausente);400;medio
62;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(longitud 61, por encima del máximo);(ausente);(ausente);(ausente);400;alto
63;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(contiene una variable {{1}}, prohibido);(ausente);(ausente);(ausente);400;alto
64;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(vacío);400;alto
65;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(arreglo JSON vacío, sin elementos);400;alto
66;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(no es un arreglo JSON válido);400;alto
67;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(más de 10 botones en total);400;alto
68;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(más de 10 botones QUICK_REPLY);400;alto
69;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(más de 2 botones URL);400;alto
70;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(más de 1 botón PHONE_NUMBER);400;alto
71;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(botones del mismo tipo no agrupados, intercalados);400;alto
72;(ausente);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);401;alto
73;(token inválido o expirado);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);401;alto
