Campo;api_access_token;account_id;name;category;lang;apps;type;file;header;header_var;body;body_var;footer;security;expiration;buttons;Código HTTP Esperado;Prioridad;id_caso;ultimo_resultado;ultima_ejecucion
8;(token válido correspondiente a la sesión);65;(nombre único de longitud mínima, 3 caracteres);UTILITY;es_MX;(arreglo con múltiples UUID válidos de apps existentes de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico con variables secuenciales {{1}} a {{3}});(arreglo con tres elementos, valores típicos);(cadena que alterna entre letras, números y caracteres especiales);(ausente);(ausente);(ausente);200;alto;V8;PASSED;2026-08-25
9;(token válido correspondiente a la sesión);(ausente);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I1;PASSED;2026-08-25
10;(token válido correspondiente a la sesión);(vacío);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I2;PASSED;2026-08-25
11;(token válido correspondiente a la sesión);(cuenta inexistente);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);401;alto;I3;PASSED;2026-08-25
12;(token válido correspondiente a la sesión);(cuenta existente, ajena a la sesión);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);401;alto;I4;PASSED;2026-08-25
13;(token válido correspondiente a la sesión);(mínimo del rango, 1);(longitud 2, por debajo del mínimo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I5;PASSED;2026-08-25
14;(token válido correspondiente a la sesión);(mínimo del rango, 1);(longitud 180, por encima del máximo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I6;PASSED;2026-08-25
15;(token válido correspondiente a la sesión);(mínimo del rango, 1);(contiene mayúsculas, viola el patrón);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio;I7;PASSED;2026-08-25
16;(token válido correspondiente a la sesión);(mínimo del rango, 1);(contiene caracteres especiales no permitidos);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio;I8;PASSED;2026-08-25
17;(token válido correspondiente a la sesión);(mínimo del rango, 1);(contiene espacios);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio;I9;PASSED;2026-08-25
18;(token válido correspondiente a la sesión);(mínimo del rango, 1);(ausente);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I10;PASSED;2026-08-25
19;(token válido correspondiente a la sesión);(mínimo del rango, 1);(vacío);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio;I11;PASSED;2026-08-25
20;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre ya utilizado en una petición anterior);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I12;PASSED;2026-08-25
21;(token válido correspondiente a la sesión);(mínimo del rango, 1);(contiene signo negativo, ej. -123);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio;I13;PASSED;2026-08-25
22;(token válido correspondiente a la sesión);(mínimo del rango, 1);(contiene punto decimal, ej. 12.5);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio;I14;PASSED;2026-08-25
23;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);(valor fuera de la lista blanca);en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I15;PASSED;2026-08-25
24;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);(ausente);en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I16;PASSED;2026-08-25
25;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);(vacío);en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I17;PASSED;2026-08-25
26;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);(tipo de dato incorrecto, numérico);en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I18;PASSED;2026-08-25
27;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);(caracteres especiales);en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio;I19;PASSED;2026-08-25
28;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);(valor de la lista blanca en minúsculas, ej. marketing);en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I20;PASSED;2026-08-25
29;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;(valor fuera de la lista blanca);(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I21;PASSED;2026-08-25
30;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;(ausente);(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I22;PASSED;2026-08-25
31;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;(vacío);(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio;I23;PASSED;2026-08-25
32;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;(valor de la lista blanca en minúsculas, ej. en_us);(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I24;PASSED;2026-08-25
33;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(ausente);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I25;PASSED;2026-08-25
34;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(vacío);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I26;PASSED;2026-08-25
35;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo JSON vacío, sin elementos);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I27;PASSED;2026-08-25
36;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un elemento que no es un UUID válido);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I28;PASSED;2026-08-25
37;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(no es un arreglo JSON válido);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I29;PASSED;2026-08-25
38;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con UUID inexistente o inactivo);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I30;PASSED;2026-08-25
39;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con UUID que no pertenece a la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I31;PASSED;2026-08-25
40;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con elemento compuesto solo de letras, no es un UUID);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio;I32;PASSED;2026-08-25
41;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con elemento compuesto solo de números, no es un UUID);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio;I33;PASSED;2026-08-25
42;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con elemento con caracteres especiales, no es un UUID);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio;I34;PASSED;2026-08-25
43;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un UUID existente modificando o agregando un carácter del string original);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio;I35;PASSED;2026-08-25
44;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(valor fuera de la lista blanca);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I36;PASSED;2026-08-25
45;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(vacío);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I37;PASSED;2026-08-25
46;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(tipo de dato incorrecto, numérico);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I38;PASSED;2026-08-25
47;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(caracteres especiales);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio;I39;PASSED;2026-08-25
48;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(valor de la lista blanca en minúsculas, ej. text);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I40;PASSED;2026-08-25
49;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(ausente cuando category≠AUTHENTICATION);(arreglo con un elemento correspondiente a una variable de body);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I41;PASSED;2026-08-25
50;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(vacío);(arreglo con un elemento correspondiente a una variable de body);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio;I42;PASSED;2026-08-25
51;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(longitud 1025, por encima del máximo);(arreglo con un elemento correspondiente a una variable de body);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I43;PASSED;2026-08-25
52;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(más de 10 variables);(arreglo con un elemento correspondiente a una variable de body);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I44;PASSED;2026-08-25
53;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(variables fuera de secuencia, con huecos o repeticiones);(arreglo con un elemento correspondiente a una variable de body);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I45;PASSED;2026-08-25
54;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto compuesto únicamente por variables, sin texto fijo alrededor);(arreglo con un elemento correspondiente a una variable de body);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio;I46;PASSED;2026-08-25
55;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto con el mínimo de variables, 1 variable {{1}});(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I47;PASSED;2026-08-25
56;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(vacío);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio;I48;PASSED;2026-08-25
57;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(no es un arreglo JSON válido);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I49;PASSED;2026-08-25
58;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(cantidad de elementos distinta a la cantidad de variables en body);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;alto;I50;PASSED;2026-08-25
59;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(elemento con salto de línea);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio;I51;PASSED;2026-08-25
60;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(elemento con 4 o más espacios consecutivos);(texto típico sin variables, longitud media);(ausente);(ausente);(ausente);400;medio;I52;PASSED;2026-08-25
61;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(vacío);(ausente);(ausente);(ausente);400;medio;I53;PASSED;2026-08-25
62;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(longitud 61, por encima del máximo);(ausente);(ausente);(ausente);400;alto;I54;PASSED;2026-08-25
63;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(contiene una variable {{1}}, prohibido);(ausente);(ausente);(ausente);400;alto;I55;PASSED;2026-08-25
64;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(vacío);400;alto;I56;PASSED;2026-08-25
65;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(arreglo JSON vacío, sin elementos);400;alto;I57;PASSED;2026-08-25
66;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(no es un arreglo JSON válido);400;alto;I58;PASSED;2026-08-25
67;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(más de 10 botones en total);400;alto;I59;PASSED;2026-08-25
68;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(más de 10 botones QUICK_REPLY);400;alto;I60;PASSED;2026-08-25
69;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(más de 2 botones URL);400;alto;I61;PASSED;2026-08-25
70;(token válido correspondiente a la sesión);(mínimo del rango, 1);(nombre único no usado antes, longitud típica, minúsculas/dígitos/guion bajo);MARKETING;en_US;(arreglo con un único UUID válido de una app existente de la cuenta);(ausente);(ausente);(ausente);(ausente);(texto típico sin variables, longitud media);(ausente);(texto típico sin variables, longitud media);(ausente);(ausente);(más de 1 botón PHONE_NUMBER);400;alto;I62;PASSED;2026-08-25
